사건번호,제목,내용,유형_규칙
1001899140,미성년자가 구입한 다이어트 식품 반품 및 계약해지 문의,고등학교 1학년인 딸이 수업을 마치고 집에 오던 중 학교 근처 봉고차에서 판매하는 다이어트 식품을 47만원에 구입했다면서 집으로 가지고 왔습니다. 구입대금은 우선 계약금으로 5만원을 지급하고 잔금 42만원은 6개월 할부로 지불하기로 했다고 합니다. 제품은 이미 개봉되어 확인해 보니 가격이 너무 비싼 것 같고 효능도 의심스러워 반품하려고 합니다. 이런 경우 반품 및 계약해지가 가능한지 궁금합니다.,기타
1001905113,수리 지연되는 LCD TV 보상 방안 문의,2개월 전 LCD TV를 구입해 사용하던 중 화면에 하자가 발생되어 제조사에 서비스를 의뢰하여 수리를 받았으나 또 하자가 발생되었습니다. 다시 재 수리를 요구하자 해당 제품을 인수해갔는데 40여일이 지난 현재까지 아무런 연락이 없어 확인결과 부품 공급이 지연되어 지체된다며 조만간 수리를 해주겠다고 하나 신뢰할 수 없어 교환이나 환급을 요구했으나 거부합니다.이런 경우 교환이나 환급은 받을 수 없나요?,기타
1001902733,TV홈쇼핑에서 구입한 표시광고와 다른 온돌침대 보상 요구,6~7개월 전쯤 홈쇼핑에서 맥반석 침대를 1290000원에 구입해서 사용하던 중 최근 이사할 일이 있어서 제품을 옮기는 중에 흠이 발생했습니다. 그런데 흠이 발생한 부분에서 가루가 떨어지는 겁니다. 해당 가루의 성분을 지인에게 의뢰해보니 우레탄이라고 하더군요. 구입 당시에는 원목이라고 알고 샀는데 우레탄이라니 어이가 없습니다. 이건 어떻게 보상을 받을 수 있나요?,기타
1001908313,애견분양 받고 10일째 폐사한 애완견의 환불 요구,애완견 매장에서 올드잉글리쉬쉽독(암컷)을 40만원에 현금으로 구입하였습니다. 구입당시 계약서는 받지 못했습니다.<br>이틀 후 애완견이 붉은 점액의 피가 섞인 변을 보아 판매자에게 문의하자 회충약을 먹여서 그런 것이니 하루 정도 굶기라고 하여 그렇게 하였으나 호전되지 않고 애완견이 구토와 설사를 계속 하여 5일째 동물병원에서 파보장염이라 진단을 받고 치료비가 60만원 이상 들 것이라고 답변을 받았습니다.<br>이같은 사실을 판매자에게 알리자 판매자가 지정 동물병원에서 치료해 주겠다고 하여 맡겼는데 9일째 문의하니 폐사하였다고 합니다. 환급 받을 수 있을까요?,기타
1001904880,가구를 탈없이 잘 구입하는 요령은?,가구를 탈없이 잘 구입하는 요령은?,기타
1002061755,배송 중 분실된 전자기기에 대한 업체의 과실 여부,인터넷쇼핑몰에서 전자기기를 주문하였고 택배기사로부터 배송 관련 연락을 받았으나 집에 있지 않아 택배기사에게 현관 앞에 두고 가라고 하였습니다. 그러나 집에 와보니 택배물건이 없어 문의하니 제품을 지정된 장소에 두고 갔다며 책임이 없다고 합니다. 택배사측에 분실에 따른 책임 물을 수 있는지요?,통신·인터넷
1002543997,해외 구매대행으로 구입한 신발의 사이즈 차이 관련,해외에서만 구매 가능한 운동화를 구매대행 사이트를 통해 구입하였습니다. 이후 신발을 배송 받았는데 대행 사이트에서 올려놓은 사이즈 참고표를 기준으로 US7 사이즈를 선택하였고 배송받은 신발은 원래 신발보다 사이즈가 커 착화할 수가 없습니다. 사업자에게 환급을 요청하였지만 신청인이 요청한 사이즈를 구매 대행하였을 뿐 사업자의 책임이 없다고 합니다. 이와 관련하여 소비자원에서 구제가 가능할까요?,기타
1003097124,예매 오류로 지정좌석에서 관람하지 못한 연극 공연의 보상 기준,연극 공연 관람을 예매하고 공연장을 찾았으나 예매한 좌석이 중복 예매되어 결국 다른 좌석에서 관람하였습니다. 공연 관계자는 예매에 오류가 있었다며 죄송하다고 하는데 이에 대해서 배상을 받을 수 있나요?,기타
1003088380,초고속인터넷 약정계약 만료 후 요금발생,2016년 초고속 인터넷서비스에 3년 약정으로 가입했습니다. 타사 인터넷서비스의 가입조건이 좋아 약정만료 후 재계약을 하지 않고 타사 인터넷서비스에 가입했습니다. 그러나 수개월 후 계약이 완료된 사업자로부터 미납요금이 있다는 통보를 받았습니다. 어떻게 해야 하나요?,통신·인터넷
1003087655,방문판매로 계약한 방문교육 계약 청약철회 요구,사업자가 운영하는 인터넷 홈페이지를 본 후 자녀 2명의 음악 교습을 위해 사업자에게 전화하여 자택으로 방문상담을 요청하여 사업자 측 직원이 저의 집을 방문하여 방문교습을 설명하고 교습 계약을 권유받아 주 1회 1년간(48회) 방문교습을 받는 계약을 체결하고 대금 2800000원을 신용카드로 결제하였습니다.  그러나 자녀들이 싫어하고 남편도 반대가 심하여 계약 체결 당일 오후 늦게 사업자에게 전화하여 계약 취소를 통보하였으나 사업자는 계약 취소 시 약관에 명시된 대로 위약금 20%가 발생된다고 합니다.  계약서에 위약금 부과 안내가 있더라도 서비스를 받지 않은 상태에서 위약금을 부과하는 것은 부당한 것이 아닌가요?,통신·인터넷
1003096476,노트북 동일 본체 2회 교체후 동일불량현상으로 3회째 고장 발생한 제품의 환급 요구,마트에서 노트북을 60만원에 구입했습니다. 제품 사용 3달 후 전원이 켜지지 않아 A/S를 받았습니다. 이후 3개월 동안 동일 불량이 3회 이상 발생하여 제품을 사용할 마음이 없어졌습니다. 이와 같은 경우에 환급이 가능한가요?,기타
1003098459,항공 출발일 전 항공사에서 변경된 스케줄 미고지로 인한 피해,여행일로부터 약 6개월 전에 로마행 항공권을 구입하여 여행 당일 날 항공기 출발 시간에 맞춰 공항에 도착하여 체크인을 하는 과정에서 예약한 항공편이 3시간 전에 이미 떠났으며 확인 결과 2개월 전에 항공사 사정에 의해 항공 스케줄이 변경된 사실을 알 수 있었습니다. 이에 항공권 판매처와 항공사에 연락하여 사전에 항공 스케줄 변경 사실을 알려주지 않은 사실에 대해 이의를 제기하였으나 항공사는 스케줄 변경 사실을 여행사에 통보하였다고 주장하고 여행사는 해당 스케줄 변경 사실을 홈페이지에 고지하였고 이를 확인하지 않은 소비자에게 책임이 있다며 아무런 조치도 취해주지 않았습니다. 이런 경우 구제를 받을 수 없나요?,여행·운송
1003097896,헬스장·휘트니스 등 체육시설 이용 중 해지 시 과다하게 위약금을 공제하는 경우,소비자는 2020.06.15. 12개월 간 헬스장 이용 계약을 체결하며 60만원을 신용카드 결제함. 소비자가 개인사정으로 인해 헬스장 이용이 어려워 사업자 측에 계약해지 및 환급을 요청하니 사업자는 위약금 카드수수료 헬스장 하루 단위 요금을 공제할 경우 환급액이 없다고 소비자에게 안내함.,기타
1003093891,컴퓨터의 불량화소로 인한 교환 및 구입가 환급 여부,전자상거래로 컴퓨터를 구매하고 배송을 받아보니 모니터에 불량화소가 1개 발견됐는데 제품 교환이나 구입가 환급이 가능할까요?,기타
1003102174,광고보다 과다한 전기료가 발생하는 전기온돌,전기온돌 업체로부터 다른 난방방법에 비해 연료비가 30% 이상 절감된다는 설명과 광고지를 보고 150만원에 안방과 작은방에 전기온돌을 설치하였으나 광고와 달리 난방비가 절약되지 않고 오히려 비용이 과다하게 나오고 있습니다. 이 경우 업체에 피해보상을 요구할 수 있는지 알고 싶습니다.,기타
1003059458,간암 진단이 지연된 사례,첨부파일 참조,기타
